year,locality_id,id,ALAN_median,ALAN_sd
2016,L3583659,19258,0.141337461,0.004013093
2016,L1768936,19264,0.204321126,0.018069478
2016,L4130977,19266,5.400640247,3.997109087
2016,L2959775,19139,1.147910476,0.853835509
2016,L5282371,19286,0.748901307,0.577570492
2016,L5097369,19300,0.144627111,0.014053202
2016,L2558635,19301,1.771122461,2.071924831
2016,L1827741,19314,0.116212619,0.003413988
2016,L2749482,19345,0.1389945,0.002791143
2016,L5954592,18995,0.322298334,0.069895648
2016,L4131398,19440,2.447552751,3.378412967
2016,L2539762,19128,0.119136724,0.004196412
2016,L4283981,19442,0.103976853,0.005972272
2016,L2540537,19447,0.113007033,0.006225953
2016,L2985082,19429,8.231010348,4.869452533
2016,L2558565,19292,0.131440354,0.007653022
2016,L2556254,19203,4.756618472,1.898489404
2016,L4373558,19450,0.139436275,0.002284448
2016,L7403569,19455,0.271698145,0.129235577
2016,L4626189,19461,5.686141733,4.084300521
2016,L4703818,19466,0.13724240100000001,0.006939626
2016,L4774821,19470,0.099777747,0.004714738
2016,L2558319,19319,10.04242903,5.315637743
2016,L1809596,19331,0.135416081,0.012888998
2016,L2540529,19485,0.203550239,0.123603982
2016,L1095227,19341,0.343008786,0.168297044
2016,L4321741,19528,0.189642946,0.04363115
2016,L5154215,19013,8.741711227,3.772431175
2016,L3931808,19421,5.607867532,2.606738002
2016,L2552962,19138,0.116508991,0.003516797
2016,L941990,18845,0.377874671,0.445901889
2016,L4142216,19975,0.650785746,0.428165938
2016,L4181187,19107,1.96414544,1.092647978
2016,L4142193,19977,0.107304564,0.008268251
2016,L3237432,19089,0.138933503,0.003091204
2016,L2535952,18865,0.470432763,0.593708781
2016,L4543569,19990,0.178955354,0.015109857
2016,L4981215,19991,0.628326914,0.600804197
2016,L4267710,19993,0.132183083,0.021774887
2016,L2539404,18801,0.106448361,0.005611731
2016,L5129295,19995,1.047562405,0.58024505
2016,L1747468,19197,0.727596291,0.509899741
2016,L4091708,19037,0.173522955,0.01187704
2016,L5296790,20007,0.160830848,0.006682393
2016,L5050540,20011,0.114302312,0.002540429
2016,L5145877,19052,0.119758353,0.005801852
2016,L4194249,20033,0.141827302,0.013256236
2016,L2539215,19374,0.106263227,0.006391485
2016,L2559608,19156,15.83723039,7.495120093
2016,L2558994,19132,0.284077005,0.023805319
2016,L3067345,19883,0.132506771,0.015295138
2016,L2556253,19140,0.546920958,0.127642052
2016,L3585476,19405,0.107750974,0.00567978
2016,L4122453,20134,0.106141554,0.005891978
2016,L3564977,20093,1.763168581,1.656200688
2016,L2558112,20138,0.203333069,0.010687117
2016,L4646470,20155,1.152708791,0.664610291
2016,L4799328,19712,0.18976488,0.038666385
2016,L2560597,19754,0.52091836,0.331923141
2016,L4899887,20164,0.152203244,0.005878345
2016,L4951739,20167,0.566649994,0.575342853
2016,L1394515,19628,0.250322059,0.116352815
2016,L4976875,20178,1.859372585,1.354696584
2016,L3007847,20187,3.406128525,2.675716033
2016,L11229338,20303,0.14658704,0.004791199
2016,L3219994,18934,8.741711227,3.772431175
2016,L4714392,20534,0.329140967,0.121793284
2016,L3256213,20566,0.565665973,0.360204159
2016,L4507241,20599,0.173483051,0.014710419
2016,L1190554,20605,0.281813056,0.120892319
2016,L3997867,19968,0.163270903,0.012138283
2016,L4822395,20609,0.127197117,0.002034752
2016,L4911497,20612,0.111933617,0.014628119
2016,L2719750,19105,7.173476603,4.773324168
2016,L4929347,20617,5.064927967,2.505393747
2016,L2533060,18895,0.14125172,0.046523092
2016,L5090555,20622,0.156263568,0.009457343
2016,L5137969,20626,0.11379611,0.004373019
2016,L2982124,19195,0.262886509,0.04162166
2016,L2682609,20684,4.006066011,4.607689874
2016,L2559095,19445,0.123592803,0.01222849
2016,L7738238,20685,0.46691843,0.095208932
2016,L4732629,20687,0.112611322,0.004112504
2016,L4916579,20698,11.1409216,3.258193908
2016,L4959092,20701,1.0440205,0.805360398
2016,L5051704,20704,3.709362221,3.064990054
2016,L3159621,20705,0.111652648,0.002397261
2016,L3217126,19612,0.114610634,0.002572917
2016,L5050661,20708,0.124413597,0.00258967
2016,L10722214,20844,0.106937984,0.003710752
2016,L2555646,19693,1.504904678,1.410340495
2016,L1007604,18885,0.166214454,0.010805527
2016,L4335085,20920,0.871208726,0.301367183
2016,L2537216,19122,1.832105504,1.767681978
2016,L2460171,21055,0.118836373,0.005012233
2016,L4111229,21079,0.284544503,0.027639496
2016,L3008004,19360,0.343356634,0.287192675
2016,L4381801,19515,2.00874475,1.813585766
2016,L4419918,21087,9.451297786,6.727239033
2016,L2559635,20327,0.776748027,0.301958264
2016,L1362513,20676,0.260865197,0.173670247
2016,L2535805,19332,1.033531911,0.966360584
2016,L2553158,20782,0.72179042,0.122123592
2016,L4792468,21101,6.42538538,3.365910356
2016,L1159348,19121,0.592914622,0.535223317
2016,L4944753,21108,10.38062467,5.048689831
2016,L5162450,19573,2.444397937,0.956160343
2016,L5214120,21121,0.115413724,0.004568088
2016,L2560036,18882,0.260227753,0.024938259
2016,L2558715,19903,1.683642536,0.745706665
2016,L4957582,21136,1.17553533,1.473259062
2016,L5173767,19022,0.810773599,0.243041113
2016,L3444496,19262,0.738693072,0.393923433
2016,L4717528,19585,0.135976624,0.005648963
2016,L11335154,21285,5.294312534,4.272162053
2016,L3628266,21127,15.80553737,9.602608457
2016,L2539933,18903,0.11109595,0.004170351
2016,L4202116,21557,0.265623854,0.12723667
2016,L2560164,19471,0.106666639,0.002700899
2016,L3717401,18904,1.862170587,0.341122846
2016,L4484543,21562,0.111547662,0.00988127
2016,L4156503,21563,5.381605509,4.026766343
2016,L4551058,20131,0.101220494,0.001678943
2016,L3315947,21569,0.800069356,0.163479256
2016,L984420,19084,0.130859508,0.02813848
2016,L2560448,19106,0.627445275,0.546404438
2016,L4955604,20946,0.537654247,0.534399425
2016,L2537115,18972,0.123606437,0.008296385
2016,L5049568,21585,0.11128654,0.003085549
2016,L4414568,20023,0.221059687,0.009000217
2016,L4991682,21590,0.165344513,0.018038678
2016,L5040109,21593,0.197850303,0.029695282
2016,L3007790,19728,3.493900317,3.710295826
2016,L4713941,21598,0.212697929,0.014361021
2016,L3235743,21602,0.101306872,0.003584606
2016,L5170475,21603,0.342320606,0.047432654
2016,L3009325,19174,1.857174516,2.187583326
2016,L5539937,19729,0.300732506,0.257803914
2016,L4877169,21757,0.608130933,0.206430961
2016,L9429360,20220,0.164131112,0.047018839
2016,L4892166,21383,10.95502385,4.607026587
2016,L12286827,21858,0.172833315,0.07472561
2016,L11303812,21870,0.157067918,0.008157593
2016,L4981319,21907,2.61267021,1.941845782
2016,L6051968,21909,7.582070608,9.108933701
2016,L5115050,21969,5.030128757,2.402154681
2016,L3770046,21992,0.20913377,0.011908286
2016,L2347037,21938,4.768179402,4.276359151
2016,L2554013,22109,0.147687159,0.070421774
2016,L945748,21978,0.168425583,0.005889409
2016,L2560481,22141,1.853550532,0.739205329
2016,L4156859,22143,0.105703661,0.007102981
2016,L1173452,22060,0.101564165,0.006625106
2016,L3307449,22078,2.523037257,2.114989111
2016,L4229509,22156,0.108361488,0.008386646
2016,L2554121,22160,0.430793718,0.108274597
2016,L2539323,22165,0.103260595,0.005674189
2016,L2460213,22168,0.117070533,0.003639066
2016,L4459822,22177,0.117159312,0.008236693
2016,L5061361,22186,0.112808377,0.003376473
2016,L4569909,22196,0.246000042,0.009792434
2016,L5165283,22198,4.540063944,3.766748932
2016,L3603843,22201,0.123391382,0.007143468
2016,L3184386,22124,1.614141144,0.567936528
2016,L2747731,22051,1.467014298,1.845318737
2016,L2558913,22235,2.310198686,1.62622358
2016,L4994385,22236,0.12461968,0.002962047
2016,L2539205,22046,0.108534286,0.008353226
2016,L2068798,22024,0.542122953,0.478035904
2016,L1428337,22242,0.134399383,0.005729363
2016,L1819350,22246,0.210280674,0.013742882
2016,L1095232,22212,0.160884055,0.005375704
2016,L2553945,22041,0.476975696,0.115409352
2016,L4733230,22277,0.118690148,0.006904
2016,L4834385,22294,0.247539402,0.176142596
2016,L2558764,22297,1.038920666,0.908154242
2016,L930534,22031,0.118951432,0.005901082
2016,L2539600,22145,0.136797874,0.019923394
2016,L4170082,22315,0.105440824,0.009701856
2016,L921547,22127,0.135105282,0.007297038
2016,L3970821,22207,0.113505358,0.002512683
2016,L3990259,22327,0.115000436,0.003153612
2016,L4443328,22335,0.13906867,0.004269753
2016,L4785317,22370,0.096648999,0.004186594
2016,L2540949,22153,0.325850942,0.119240918
2016,L4774193,22371,0.390607437,0.08309262
2016,L2553660,22378,0.107935308,0.013931179
2016,L2555968,21995,0.590166255,0.145267114
2016,L2558117,21958,0.511261911,0.124854571
2016,L4782648,22766,3.292950558,4.05626373
2016,L2535145,22108,0.137875326,0.005090678
2016,L13665703,22813,3.641896637,1.64295994
2016,L2697651,22836,6.112461337,3.712369141
2016,L2958262,22049,1.357502649,0.971791982
2016,L4869202,22886,10.4801413,7.77040888
2016,L4225711,22505,0.341448553,0.164713437
2016,L4303381,23055,0.129275709,0.002295791
2016,L3483916,22064,10.24860031,3.330546864
2016,L2668617,22004,0.665569498,0.397717894
2016,L4134024,23075,0.339238666,0.044761175
2016,L2558930,23077,0.201697441,0.106384478
2016,L4970476,23078,0.214538287,0.011391125
2016,L5001882,23079,0.381601609,0.398251569
2016,L5108833,23082,0.157892142,0.006252932
2016,L3022191,22082,0.365594186,0.186177885
2016,L4411297,23086,0.126986907,0.005166051
2016,L1121699,22101,0.115816839,0.003534607
2016,L3862700,22096,4.240449342,3.352840953
2016,L2555679,22245,0.233141427,0.171220565
2016,L3095663,22063,0.595506455,0.547064926
2016,L2540359,22045,0.105486509,0.004158241
2016,L4780271,22603,0.141770647,0.003718111
2016,L3008940,22785,2.254799993,2.220055275
2016,L2558386,22043,0.132814614,0.010304
2016,L3442419,22460,0.20121926,0.011065696
2016,L4949192,23107,0.487477719,0.475771145
2016,L2553772,22611,0.12040138,0.004711565
2016,L4326778,22731,0.108821126,0.004685805
2016,L1760514,22393,0.361580176,0.20139125
2016,L2539738,22094,0.119073627,0.004864369
2016,L1249615,21988,0.099597231,0.005496626
2016,L4576404,23174,11.49216731,6.258948521
2016,L4681827,23184,0.10508188,0.005090616
2016,L2557449,22211,0.164988869,0.006571989
2016,L5062086,23205,0.123769817,0.012652567
2016,L2555607,21965,0.331410045,0.185272851
2016,L5162585,23207,4.768179402,4.276359151
2016,L2981622,23189,0.24416472,0.090417719
2016,L4594191,23233,0.126040032,0.008000733
2016,L2539482,22394,0.108386788,0.006993476
2016,L4676807,23240,0.134643542,0.022063042
2016,L4723339,23242,0.581242303,0.151143759
2016,L4981343,23256,0.106937984,0.003710752
2016,L4953741,23257,0.127897915,0.012345868
2016,L7187070,23302,0.170524665,0.013154692
2016,L11254192,23367,0.341925767,0.169599166
2016,L5085267,22499,6.286702296,5.558791465
2016,L2460227,22436,0.136899349,0.015224634
2016,L1884607,22233,0.125632292,0.006254291
2016,L3639760,23024,0.110945211,0.011942252
2016,L2913713,22448,2.376423732,1.297200381
2016,L2539138,22693,0.103492874,0.006783402
2016,L2554105,22037,0.167715069,0.005749125
2016,L4345619,23682,0.125632292,0.006254291
2016,L4981034,23686,4.48156624,3.758253615
2016,L3803232,23698,2.113696486,0.789296758
2016,L4734819,23700,0.112807111,0.014065419
2016,L2536862,22072,0.117618629,0.002659714
2016,L5049557,23707,0.11240772,0.003013904
2016,L2420438,22348,0.110206554,0.004605574
2016,L2556484,22908,0.4960835,0.167130625
2016,L4313697,23781,0.149693716,0.006756018
2016,L3091854,22253,0.118567068,0.003818857
2016,L2559257,23756,0.192276386,0.052907312
2016,L4911513,23811,0.116264166,0.007482222
2016,L4868938,22345,0.112647758,0.002928301
2016,L4594579,23849,0.153657667,0.086574726
2016,L4873597,23859,6.482153699,6.669461437
2016,L4950643,23869,0.102374652,0.005230521
2016,L5119076,23878,0.162072732,0.0054238690000000004
2016,L11289316,23943,0.190086795,0.019758709
2016,L2536058,23950,0.125218421,0.006774963
2016,L7742722,23978,0.275332798,0.164616368
2016,L11661496,22389,1.033531911,0.966360584
2016,L4268789,22241,4.006066011,4.607689874
2016,L4420028,23301,1.807801621,1.737971521
2016,L4216077,24210,0.191260687,0.018855714
2016,L2537413,22570,0.130262362,0.007307984
2016,L2553302,23244,0.395482469,0.116157951
2016,L4175306,24230,0.094837927,0.004534445
2016,L5007042,24232,0.112933592,0.00397169
2016,L2555461,22106,0.124088908,0.006540187
2016,L4440787,24238,0.184519366,0.01797539
2016,L3947006,22635,0.232106005,0.057168743
2016,L4066800,23677,0.126919054,0.004793357
2016,L3133313,23652,0.102800884,0.003727352
2016,L2537241,22330,0.281230735,0.0656543
