year,locality_id,id,ALAN_median,ALAN_sd
2020,L6691799,467,1.477673258,1.210987079
2020,L11631147,2538,0.312018276,0.052533794
2020,L6483605,427,0.163959867,0.024555158
2021,L2556638,579,0.411561354,0.202357916
2020,L5155962,2545,0.112474992,0.011887053
2020,L12042164,2547,5.694003966,4.778504718
2020,L12131741,2550,12.27933035,8.285747783
2020,L3789536,475,28.18212395,10.0161248
2021,L8322663,1261,4.18648434,3.955409546
2020,L12634969,2561,0.459065613,0.369241433
2020,L12699520,2566,23.62227935,18.14639932
2021,L15277213,2576,12.12946504,15.76231545
2021,L15062255,2577,0.82735581,0.730955614
2020,L2727429,799,27.24784435,17.2389118
2020,L12471465,2584,0.358620202,0.330222832
2021,L15373026,2587,0.363726301,0.314297147
2021,L14118521,2592,7.473492224,3.767429798
2021,L14201919,2593,2.012915456,1.66896835
2021,L3598684,208,0.173663509,0.011059128
2021,L2537999,54,0.203169224,0.060156348
2021,L14403638,2597,2.463581271,2.5506981
2021,L3984779,873,0.469783372,0.328760903
2021,L15524241,2601,0.175074738,0.130364697
2021,L15196468,2608,2.738122701,3.520942574
2021,L3130923,2612,0.823981753,0.712457526
2021,L10501471,2635,2.504523147,2.243417396
2021,L13865296,2641,2.659695555,2.452438603
2021,L14626693,2656,1.178857958,1.834547342
2021,L14222237,2717,3.716032208,2.872282975
2021,L13294920,2732,0.093978065,0.00638441
2020,L11852107,2769,0.293309544,0.070215718
2021,L15737493,2796,0.265809366,0.106611621
2020,L10235464,666,8.37136041,2.660197824
2020,L10557534,2872,0.603722572,0.932841046
2020,L10409945,2876,0.684058969,0.627675809
2020,L3456578,330,40.4643627,22.90782246
2020,L6604261,532,4.224161928,3.651903467
2021,L15117448,2888,9.136717019,6.560335409
2021,L14837432,2904,3.137673952,2.717395883
2020,L10574906,2906,29.06209286,9.759755369
2021,L11992995,924,5.384349509,8.202900482
2020,L12147194,2912,1.425198628,1.187523964
2020,L5663041,1726,0.07272496,0.006526945
2021,L2557697,190,3.953590539,3.727191286
2020,L11101162,2923,9.922014438,6.767259201
2020,L13032442,2924,13.75791147,5.389962753
2020,L11858120,2930,4.424315702,1.791041319
2020,L12704627,2931,0.116533033,0.01827775
2021,L14748017,2934,33.33881038,44.92305799
2020,L11289113,2939,3.600777536,4.609841559
2020,L11993799,2948,0.126617346,0.010124404
2021,L14954968,2949,1.052434422,0.589137137
2020,L5520269,390,0.472244817,0.199196486
2020,L10448550,2962,0.237585943,0.155217723
2020,L11859061,2963,1.35452709,0.995282212
2020,L10538964,2965,0.162034833,0.084488808
2020,L9872054,2967,0.087235245,0.005164712
2020,L10868142,2977,0.137399584,0.03792354
2020,L12158225,2981,1.328320362,1.309051293
2020,L12208414,2983,1.622953001,1.372042976
2021,L13334707,2988,1.368710637,0.93511725
2021,L13482614,2994,0.48374029,0.427088522
2021,L10841122,868,2.314937887,2.088270274
2021,L14057006,3004,0.796860071,0.589923683
2020,L11929181,3017,5.931024898,4.291114033
2021,L15707047,3018,2.109045297,2.26406302
2020,L13045577,3025,1.763545536,1.139740458
2021,L15355484,3030,3.716032208,2.872282975
2021,L11826370,3033,7.92298171,6.490274227
2021,L3184816,3043,9.241467105,4.727181577
2020,L12937120,3052,4.469656079,1.587123818
2021,L13720007,3064,1.662499386,1.611599838
2021,L13959040,3078,16.29084173,16.43869528
2021,L2537174,3079,0.389475566,0.384627175
2021,L15007506,3084,0.146011543,0.005944042
2021,L2559797,3088,3.869567827,4.161099305
2021,L2338511,3090,0.58208842,0.6234395
2021,L13246698,3122,3.410939395,2.00846403
2021,L15279540,3131,1.177040267,1.339659661
2021,L15671839,3150,0.251066987,0.093914585
2020,L6135569,3153,0.498332699,0.500934359
2021,L5088745,3160,2.980675915,1.971834509
2021,L8033470,3176,6.79562612,6.705240779
2021,L2559466,3156,3.208000831,1.130854364
2021,L14473041,3289,0.644737159,0.393980105
2020,L4095317,3300,3.899630233,2.018570254
2020,L2338511,3090,0.58208842,0.6234395
2021,L2708135,3360,0.480687634,0.109548655
2021,L4002532,3274,0.357691861,0.162958397
2020,L2198738,3127,5.969055757,5.211410322
2020,L8619619,3443,2.04246647,2.545554092
2020,L10832645,3493,0.168226925,0.068693603
2021,L5704291,3445,0.12716087,0.021370576
2021,L8619619,3443,2.04246647,2.545554092
2020,L2563418,3346,0.786368935,0.60408756
2021,L9039195,3556,0.202459735,0.105382982
2020,L10716104,3591,0.933392498,0.627687317
